# z	H_screen	phi	psi	H_target
4.960116795893423358e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.976168965033199640e+02
4.953372222689495885e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.972200098915444073e+02
4.946636639251921252e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.968239229223306666e+02
4.939910033598335559e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.964286339763226295e+02
4.933192393762353589e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.960341414374712201e+02
4.926483707793538258e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.956404436930271515e+02
4.919783963757377165e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.952475391335338770e+02
4.913093149735269805e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.948554261528212521e+02
4.906411253824500562e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.944641031479985713e+02
4.899738264138218824e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.940735685194476901e+02
4.893074168805414104e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.936838206708160044e+02
4.886418955970903966e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.932948580090104542e+02
4.879772613795305602e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.929066789441901051e+02
4.873135130455018782e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.925192818897598386e+02
4.866506494142196715e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.921326652623629911e+02
4.859886693064736818e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.917468274818755560e+02
4.853275715446253713e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.913617669713989926e+02
4.846673549526058622e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.909774821572536041e+02
4.840080183559132365e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.905939714689715458e+02
4.833495605816118967e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.902112333392910841e+02
4.826919804583294393e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.898292662041492633e+02
4.820352768162541679e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.894480685026750564e+02
4.813794484871343116e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.890676386771836803e+02
4.807244943042749696e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.886879751731692920e+02
4.800704131025365484e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.883090764392987353e+02
4.794172037183318480e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.879309409274044640e+02
4.787648649896252806e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.875535670924789144e+02
4.781133957559297443e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.871769533926671727e+02
4.774627948583054149e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.868010982892610343e+02
4.768130611393561225e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.864260002466915580e+02
4.761641934432295642e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.860516577325240348e+02
4.755161906156134677e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.856780692174502576e+02
4.748690515037345961e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.853052331752828366e+02
4.742227749563552663e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.849331480829478380e+02
4.735773598237732074e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.845618124204795265e+02
4.729328049578184334e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.841912246710133161e+02
4.722891092118506862e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.838213833207789207e+02
4.716462714407588663e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.834522868590950111e+02
4.710042905009576941e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.830839337783619669e+02
4.703631652503866434e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.827163225740560790e+02
4.697228945485066021e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.823494517447225007e+02
4.690834772562993038e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.819833197919696488e+02
4.684449122362646278e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.816179252204625527e+02
4.678071983524187516e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.812532665379166872e+02
4.671703344702911664e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.808893422550910373e+02
4.665343194569243934e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.805261508857828119e+02
4.658991521808706437e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.801636909468205090e+02
4.652648315121906819e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.798019609580579754e+02
4.646313563224503440e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.794409594423675571e+02
4.639987254847206088e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.790806849256348130e+02
4.633669378735741873e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.787211359367516650e+02
4.627359923650834617e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.783623110076100886e+02
4.621058878368193490e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.780042086730963717e+02
4.614766231678486008e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.776468274710846060e+02
4.608481972387325953e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.772901659424309742e+02
4.602206089315236426e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.769342226309665023e+02
4.595938571297651976e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.765789960834923704e+02
4.589679407184884496e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.762244848497727219e+02
4.583428585842111147e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.758706874825292630e+02
4.577186096149340244e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.755176025374340441e+02
4.570951927001411974e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.751652285731048551e+02
4.564726067307964286e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.748135641510980918e+02
4.558508505993420101e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.744626078359031567e+02
4.552299231996960316e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.741123581949360073e+02
4.546098234272510297e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.737628137985335002e+02
4.539905501788722830e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.734139732199474508e+02
4.533721023528949701e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.730658350353380399e+02
4.527544788491226768e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.727183978237683846e+02
4.521376785688254785e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.723716601671981437e+02
4.515217004147383761e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.720256206504781176e+02
4.509065432910579574e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.716802778613433134e+02
4.502922061034423251e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.713356303904081130e+02
4.496786877590077580e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.709916768311595661e+02
4.490659871663275027e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.706484157799517618e+02
4.484541032354289314e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.703058458359996052e+02
4.478430348777930448e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.699639656013735589e+02
4.472327810063512032e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.696227736809930775e+02
4.466233405354840613e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.692822686826211793e+02
4.460147123810187253e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.689424492168581367e+02
4.454068954602279007e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.686033138971361609e+02
4.447998886918274764e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.682648613397133488e+02
4.441936909959739666e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.679270901636673727e+02
4.435883012942637293e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.675899989908904786e+02
4.429837185097305507e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.672535864460832897e+02
4.423799415668435842e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.669178511567489807e+02
4.417769693915052187e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.665827917531873368e+02
4.411748009110498714e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.662484068684893828e+02
4.405734350542416422e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.659146951385314992e+02
4.399728707512726089e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.655816552019695962e+02
4.393731069337601980e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.652492857002330595e+02
4.387741425347465452e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.649175852775199189e+02
4.381759764886955111e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.645865525807901690e+02
4.375786077314917577e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.642561862597609377e+02
4.369820352004372666e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.639264849668997499e+02
4.363862578342514809e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.635974473574201227e+02
4.357912745730678949e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.632690720892748288e+02
4.351970843584329884e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.629413578231509803e+02
4.346036861333035972e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.626143032224637750e+02
4.340110788420457766e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.622879069533514098e+02
4.334192614304330249e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.619621676846694243e+02
4.328282328456429440e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.616370840879844195e+02
4.322379920362573813e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.613126548375693972e+02
4.316485379522593036e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.609888786103977054e+02
4.310598695450313755e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.606657540861375537e+02
4.304719857673534733e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.603432799471461863e+02
4.298848855734017604e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.600214548784649082e+02
4.292985679187462011e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.597002775678130320e+02
4.287130317603491392e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.593797467055828747e+02
4.281282760565625978e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.590598609848335059e+02
4.275442997671274270e+01 2.216155402149473446e+02 1.500957650672184381e-14 -1.210548472996367853e-08 1.587406191012860006e+02
