# z	ratio	Geff/GN	alpha_B
3.812625250501001650e-01 1.006366246107282869e+00 1.012773021304064214e+00 1.602966553380370252e-01
3.841683366733466554e-01 1.006383770286712220e+00 1.012808293096497891e+00 1.603379940693246963e-01
3.870741482965931457e-01 1.006400587227350041e+00 1.012842141971554977e+00 1.603776676055148065e-01
3.899799599198396360e-01 1.006416706776845915e+00 1.012874587679551741e+00 1.604156987925192679e-01
3.928857715430861819e-01 1.006432138696232048e+00 1.012905649800671659e+00 1.604521102947683853e-01
3.957915831663326722e-01 1.006446892659309311e+00 1.012935347743579184e+00 1.604869245929594623e-01
3.986973947895791626e-01 1.006460978252111893e+00 1.012963700744198059e+00 1.605201639820093840e-01
4.016032064128256529e-01 1.006474404972437897e+00 1.012990727864622853e+00 1.605518505691822251e-01
4.045090180360721432e-01 1.006487182229445443e+00 1.013016447992168834e+00 1.605820062723883335e-01
4.074148296593186336e-01 1.006499319343316490e+00 1.013040879838559283e+00 1.606106528186639071e-01
4.103206412825651239e-01 1.006510825544975729e+00 1.013064041939228499e+00 1.606378117427944840e-01
4.132264529058116143e-01 1.006521709975869650e+00 1.013085952652748700e+00 1.606635043861045498e-01
4.161322645290581046e-01 1.006531981687801558e+00 1.013106630160372834e+00 1.606877518953885864e-01
4.190380761523045949e-01 1.006541649642814784e+00 1.013126092465678862e+00 1.607105752219825101e-01
4.219438877755510853e-01 1.006550722713128732e+00 1.013144357394321737e+00 1.607319951209696396e-01
4.248496993987975756e-01 1.006559209681120670e+00 1.013161442593882189e+00 1.607520321505146732e-01
4.277555110220440659e-01 1.006567119239353714e+00 1.013177365533811214e+00 1.607707066713251753e-01
4.306613226452905563e-01 1.006574459990642101e+00 1.013192143505452725e+00 1.607880388462137322e-01
4.335671342685370466e-01 1.006581240448165104e+00 1.013205793622166784e+00 1.608040486397948332e-01
4.364729458917835370e-01 1.006587469035611360e+00 1.013218332819517897e+00 1.608187558182668786e-01
4.393787575150300273e-01 1.006593154087367159e+00 1.013229777855554126e+00 1.608321799493159510e-01
4.422845691382765176e-01 1.006598303848730502e+00 1.013240145311141260e+00 1.608443404020939160e-01
4.451903807615230080e-01 1.006602926476166671e+00 1.013249451590382932e+00 1.608552563473113484e-01
4.480961923847694983e-01 1.006607030037589778e+00 1.013257712921097120e+00 1.608649467574060909e-01
4.510020040080159887e-01 1.006610622512669639e+00 1.013264945355344393e+00 1.608734304067853671e-01
4.539078156312625345e-01 1.006613711793176158e+00 1.013271164770035426e+00 1.608807258721733913e-01
4.568136272545090248e-01 1.006616305683341484e+00 1.013276386867578482e+00 1.608868515330119375e-01
4.597194388777555152e-01 1.006618411900254362e+00 1.013280627176590176e+00 1.608918255719529178e-01
4.626252505010020055e-01 1.006620038074269807e+00 1.013283901052644431e+00 1.608956659753989216e-01
4.655310621242484959e-01 1.006621191749438537e+00 1.013286223679059850e+00 1.608983905341075382e-01
4.684368737474949862e-01 1.006621880383971934e+00 1.013287610067763467e+00 1.609000168438863287e-01
4.713426853707414765e-01 1.006622111350717663e+00 1.013288075060176707e+00 1.609005623063306800e-01
4.742484969939879669e-01 1.006621891937642843e+00 1.013287633328119552e+00 1.609000441295907746e-01
