# z	H	phi	psi
4.722791336954065144e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.713150577874890956e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.703529090671510460e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.693926836819443338e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.684343777871230685e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.674779875456258083e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.665235091280618462e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.655709387126957211e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.646202724854313004e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.636715066397965757e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.627246373769294507e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.617796609055610446e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.608365734420012672e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.598953712101242530e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.589560504413520192e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.580186073746398279e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.570830382564621175e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.561493393407956631e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.552175068891060050e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
4.542875371703321719e+01 1.000000000000000078e-15 2.680630833048110472e-18 -1.224529478848960245e-06
