# z	phi_prime_sq	E2	dE2_dz
3.459551910382076267e-02 -1.513152798894918383e-01 1.026005048377646833e+00 7.930944045975134582e-01
3.519543908781756769e-02 -1.508447615938376674e-01 1.026481273077277212e+00 7.945330101473873086e-01
3.579535907181436577e-02 -1.503754879213279050e-01 1.026958360867149977e+00 7.959717559073392623e-01
3.639527905581116385e-02 -1.499074560546486135e-01 1.027436311831581683e+00 7.974106425498707074e-01
3.699519903980796193e-02 -1.494406631815625441e-01 1.027915126055292117e+00 7.988496707466408164e-01
3.759511902380476001e-02 -1.489751064949022541e-01 1.028394803623403408e+00 8.002888411684692116e-01
3.819503900780156502e-02 -1.485107831925639443e-01 1.028875344621440480e+00 8.017281544853336328e-01
3.879495899179836310e-02 -1.480476904775009928e-01 1.029356749135329707e+00 8.031676113663741567e-01
3.939487897579516118e-02 -1.475858255577170708e-01 1.029839017251398481e+00 8.046072124798924197e-01
3.999479895979195926e-02 -1.471251856462600927e-01 1.030322149056375203e+00 8.060469584933537268e-01
4.059471894378875734e-02 -1.466657679612156651e-01 1.030806144637387955e+00 8.074868500733872745e-01
4.119463892778556235e-02 -1.462075697257007589e-01 1.031291004081964946e+00 8.089268878857863720e-01
4.179455891178236043e-02 -1.457505881678567983e-01 1.031776727478033395e+00 8.103670725955121057e-01
4.239447889577915851e-02 -1.452948205208438870e-01 1.032263314913919316e+00 8.118074048666912290e-01
4.299439887977595659e-02 -1.448402640228343141e-01 1.032750766478346627e+00 8.132478853626191606e-01
4.359431886377275467e-02 -1.443869159170056704e-01 1.033239082260437369e+00 8.146885147457610943e-01
4.419423884776955969e-02 -1.439347734515349919e-01 1.033728262349709937e+00 8.161292936777506668e-01
4.479415883176635776e-02 -1.434838338795924872e-01 1.034218306836080181e+00 8.175702228193937326e-01
4.539407881576315584e-02 -1.430340944593344876e-01 1.034709215809859861e+00 8.190113028306685861e-01
4.599399879975995392e-02 -1.425855524538980901e-01 1.035200989361756641e+00 8.204525343707254059e-01
4.659391878375675200e-02 -1.421382051313938577e-01 1.035693627582872978e+00 8.218939180978898085e-01
4.719383876775355008e-02 -1.416920497649006294e-01 1.036187130564706127e+00 8.233354546696614040e-01
4.779375875175035510e-02 -1.412470836324581092e-01 1.036681498399147916e+00 8.247771447427163505e-01
4.839367873574715317e-02 -1.408033040170613703e-01 1.037176731178483413e+00 8.262189889729077974e-01
4.899359871974395125e-02 -1.403607082066543055e-01 1.037672828995391150e+00 8.276609880152669962e-01
4.959351870374074933e-02 -1.399192934941234090e-01 1.038169791942942455e+00 8.291031425240042996e-01
