# phi[M_Pl]	V[H0^2*Mpl^2]	V[GeV^4]	V[eV^4]
9.032906306047361333e-05 1.989856454979750611e+00 5.900324849132017116e-43 5.900324849132017394e-07
9.561186182112380028e-05 1.989829566071887212e+00 5.900245118108788898e-43 5.900245118108788718e-07
1.009908863714437111e-04 1.989802724488007879e+00 5.900165527410697524e-43 5.900165527410697324e-07
1.064642489288780691e-04 1.989775930192984044e+00 5.900086076933579476e-43 5.900086076933579333e-07
1.120301580709720524e-04 1.989749183151711565e+00 5.900006766573344518e-43 5.900006766573344986e-07
1.176869106565697765e-04 1.989722483329102509e+00 5.899927596225949410e-43 5.899927596225950048e-07
1.234328846679288993e-04 1.989695830690092704e+00 5.899848565787421804e-43 5.899848565787422284e-07
1.292665328427727855e-04 1.989669225199637959e+00 5.899769675153848300e-43 5.899769675153848752e-07
1.351863769875893961e-04 1.989642666822715622e+00 5.899690924221380014e-43 5.899690924221380035e-07
1.411910028810137163e-04 1.989616155524323249e+00 5.899612312886227007e-43 5.899612312886227069e-07
1.472790556907993542e-04 1.989589691269481930e+00 5.899533841044671829e-43 5.899533841044671728e-07
1.534492358395422862e-04 1.989563274023227635e+00 5.899455508593036056e-43 5.899455508593036120e-07
1.597002952642145868e-04 1.989536903750623642e+00 5.899377315427728092e-43 5.899377315427728117e-07
1.660310340223236647e-04 1.989510580416749219e+00 5.899299261445200148e-43 5.899299261445200058e-07
1.724402972045901983e-04 1.989484303986709390e+00 5.899221346541980108e-43 5.899221346541980515e-07
1.789269721192143781e-04 1.989458074425622947e+00 5.899143570614639665e-43 5.899143570614640414e-07
1.854899857178654576e-04 1.989431891698637322e+00 5.899065933559834152e-43 5.899065933559834322e-07
1.921283022371794713e-04 1.989405755770915274e+00 5.898988435274263505e-43 5.898988435274263397e-07
1.988409210331859578e-04 1.989379666607645092e+00 5.898911075654702538e-43 5.898911075654702908e-07
2.056268745887351868e-04 1.989353624174028168e+00 5.898833854597969873e-43 5.898833854597970478e-07
2.124852266765231423e-04 1.989327628435298090e+00 5.898756772000973348e-43 5.898756772000973728e-07
2.194150706624348190e-04 1.989301679356696440e+00 5.898679827760647084e-43 5.898679827760647807e-07
2.264155279356611095e-04 1.989275776903495663e+00 5.898603021774018400e-43 5.898603021774018918e-07
2.334857464536821414e-04 1.989249921040982860e+00 5.898526353938156034e-43 5.898526353938156676e-07
2.406248993914728018e-04 1.989224111734467559e+00 5.898449824150195634e-43 5.898449824150196343e-07
2.478321838855490622e-04 1.989198348949282602e+00 5.898373432307342149e-43 5.898373432307341998e-07
2.551068198643896556e-04 1.989172632650778372e+00 5.898297178306853098e-43 5.898297178306853841e-07
2.624480489577946107e-04 1.989146962804327678e+00 5.898221062046050521e-43 5.898221062046050301e-07
2.698551334783666489e-04 1.989121339375322428e+00 5.898145083422316200e-43 5.898145083422316514e-07
2.773273554691757514e-04 1.989095762329177397e+00 5.898069242333095638e-43 5.898069242333095848e-07
2.848640158120974153e-04 1.989070231631326013e+00 5.897993538675893287e-43 5.897993538675893081e-07
2.924644333919257377e-04 1.989044747247222800e+00 5.897917972348276521e-43 5.897917972348276519e-07
3.001279443119453383e-04 1.989019309142342706e+00 5.897842543247869272e-43 5.897842543247869525e-07
3.078539011568265371e-04 1.988993917282181556e+00 5.897767251272359991e-43 5.897767251272360047e-07
3.156416722992633206e-04 1.988968571632258708e+00 5.897692096319508021e-43 5.897692096319508033e-07
3.234906412471483250e-04 1.988943272158108844e+00 5.897617078287114925e-43 5.897617078287114722e-07
3.314002060281623363e-04 1.988918018825293288e+00 5.897542197073064306e-43 5.897542197073064999e-07
3.393697786091276480e-04 1.988892811599387134e+00 5.897467452575279598e-43 5.897467452575279747e-07
3.473987843475856430e-04 1.988867650445990565e+00 5.897392844691757514e-43 5.897392844691758199e-07
3.554866614734336627e-04 1.988842535330722638e+00 5.897318373320552121e-43 5.897318373320552529e-07
3.636328605983729645e-04 1.988817466219226171e+00 5.897244038359787580e-43 5.897244038359787966e-07
3.718368442514330408e-04 1.988792443077157746e+00 5.897169839707628677e-43 5.897169839707628916e-07
3.800980864386710456e-04 1.988767465870204365e+00 5.897095777262330208e-43 5.897095777262330841e-07
3.884160722255475262e-04 1.988742534564061692e+00 5.897021850922172458e-43 5.897021850922172493e-07
3.967902973404935363e-04 1.988717649124456033e+00 5.896948060585528907e-43 5.896948060585528979e-07
4.052202677981980861e-04 1.988692809517128790e+00 5.896874406150812864e-43 5.896874406150813519e-07
4.137054995414918279e-04 1.988668015707844461e+00 5.896800887516511715e-43 5.896800887516512390e-07
4.222455181005918545e-04 1.988643267662385083e+00 5.896727504581163030e-43 5.896727504581163752e-07
4.308398582686945311e-04 1.988618565346557787e+00 5.896654257243374474e-43 5.896654257243374583e-07
4.394880637927645051e-04 1.988593908726185910e+00 5.896581145401807877e-43 5.896581145401807981e-07
4.481896870788953935e-04 1.988569297767114552e+00 5.896508168955187201e-43 5.896508168955187391e-07
4.569442889110486572e-04 1.988544732435208573e+00 5.896435327802294554e-43 5.896435327802294494e-07
4.657514381826571848e-04 1.988520212696355483e+00 5.896362621841979752e-43 5.896362621841979791e-07
4.746107116401498960e-04 1.988495738516462552e+00 5.896290050973149961e-43 5.896290050973149902e-07
4.835216936379116426e-04 1.988471309861455483e+00 5.896217615094768903e-43 5.896217615094769676e-07
4.924839759038179832e-04 1.988446926697278849e+00 5.896145314105854463e-43 5.896145314105854787e-07
5.014971573149423767e-04 1.988422588989905204e+00 5.896073147905509760e-43 5.896073147905509848e-07
5.105608436828251717e-04 1.988398296705322199e+00 5.896001116392880127e-43 5.896001116392880761e-07
5.196746475476798910e-04 1.988374049809536137e+00 5.895929219467169045e-43 5.895929219467169548e-07
5.288381879812176223e-04 1.988349848268575526e+00 5.895857457027642126e-43 5.895857457027642816e-07
5.380510903975344039e-04 1.988325692048493076e+00 5.895785828973640656e-43 5.895785828973641286e-07
5.473129863716591492e-04 1.988301581115354155e+00 5.895714335204539373e-43 5.895714335204539563e-07
5.566235134654151651e-04 1.988277515435251663e+00 5.895642975619799839e-43 5.895642975619800129e-07
5.659823150600817865e-04 1.988253494974294489e+00 5.895571750118925038e-43 5.895571750118925701e-07
5.753890401957312273e-04 1.988229519698613057e+00 5.895500658601487252e-43 5.895500658601487819e-07
5.848433434166994127e-04 1.988205589574356891e+00 5.895429700967112132e-43 5.895429700967112018e-07
5.943448846230103833e-04 1.988181704567701491e+00 5.895358877115503390e-43 5.895358877115503246e-07
6.038933289273795690e-04 1.988157864644833017e+00 5.895288186946395805e-43 5.895288186946396094e-07
6.134883465176571571e-04 1.988134069771967161e+00 5.895217630359611775e-43 5.895217630359611976e-07
6.231296125242813400e-04 1.988110319915333379e+00 5.895147207255016710e-43 5.895147207255016776e-07
6.328168068926720569e-04 1.988086615041182448e+00 5.895076917532534966e-43 5.895076917532535666e-07
6.425496142601350158e-04 1.988062955115790453e+00 5.895006761092170555e-43 5.895006761092171115e-07
6.523277238373315079e-04 1.988039340105448805e+00 5.894936737833968906e-43 5.894936737833968999e-07
6.621508292938421691e-04 1.988015769976468006e+00 5.894866847658034395e-43 5.894866847658034487e-07
6.720186286477830562e-04 1.987992244695183874e+00 5.894797090464546272e-43 5.894797090464546865e-07
6.819308241593075026e-04 1.987968764227947993e+00 5.894727466153729987e-43 5.894727466153729886e-07
6.918871222277300781e-04 1.987945328541132595e+00 5.894657974625873122e-43 5.894657974625872949e-07
7.018872332921338719e-04 1.987921937601133449e+00 5.894588615781330963e-43 5.894588615781331099e-07
7.119308717354333460e-04 1.987898591374363866e+00 5.894519389520512963e-43 5.894519389520513378e-07
7.220177557915319344e-04 1.987875289827255365e+00 5.894450295743882739e-43 5.894450295743882826e-07
