# z	phi[M_Pl]	V[Mpl^4_nat]	V(z)_nat
2.975705670567056593e+00 9.299638209889202201e-02 1.988422588989905204e+00 2.109183049226516005e+00
2.975405740574057045e+00 9.299077428804111700e-02 1.988398296705322199e+00 2.109168971955821092e+00
2.975105810581057941e+00 9.298516597390324434e-02 1.988374049809536137e+00 2.109154893808483422e+00
2.974805880588058393e+00 9.297955715626986251e-02 1.988349848268575526e+00 2.109140814783710738e+00
2.974505950595059289e+00 9.297394783493236059e-02 1.988325692048493076e+00 2.109126734880696574e+00
2.974206020602059741e+00 9.296833800968201666e-02 1.988301581115354155e+00 2.109112654098598938e+00
2.973906090609060637e+00 9.296272768031001166e-02 1.988277515435251663e+00 2.109098572436653996e+00
2.973606160616061533e+00 9.295711684660738772e-02 1.988253494974294489e+00 2.109084489894055281e+00
2.973306230623061985e+00 9.295150550836508985e-02 1.988229519698613057e+00 2.109070406469975012e+00
2.973006300630062881e+00 9.294589366537400754e-02 1.988205589574356891e+00 2.109056322163581854e+00
2.972706370637063333e+00 9.294028131742484988e-02 1.988181704567701491e+00 2.109042236974115525e+00
2.972406440644064229e+00 9.293466846430827044e-02 1.988157864644833017e+00 2.109028150900755350e+00
2.972106510651064681e+00 9.292905510581479789e-02 1.988134069771967161e+00 2.109014063942691308e+00
2.971806580658065577e+00 9.292344124173486375e-02 1.988110319915333379e+00 2.108999976099102724e+00
2.971506650665066029e+00 9.291782687185876077e-02 1.988086615041182448e+00 2.108985887369200896e+00
2.971206720672066925e+00 9.291221199597674008e-02 1.988062955115790453e+00 2.108971797752186461e+00
2.970906790679067822e+00 9.290659661387888624e-02 1.988039340105448805e+00 2.108957707247220981e+00
2.970606860686068273e+00 9.290098072535518670e-02 1.988015769976468006e+00 2.108943615853526410e+00
2.970306930693069170e+00 9.289536433019557338e-02 1.987992244695183874e+00 2.108929523570296283e+00
2.970007000700069622e+00 9.288974742818978392e-02 1.987968764227947993e+00 2.108915430396677948e+00
2.969707070707070518e+00 9.288413001912752820e-02 1.987945328541132595e+00 2.108901336331914678e+00
2.969407140714070970e+00 9.287851210279837733e-02 1.987921937601133449e+00 2.108887241375178689e+00
2.969107210721071866e+00 9.287289367899179138e-02 1.987898591374363866e+00 2.108873145525691939e+00
2.968807280728072762e+00 9.286727474749713329e-02 1.987875289827255365e+00 2.108859048782601775e+00
2.968507350735073214e+00 9.286165530810364110e-02 1.987852032926265222e+00 2.108844951145123048e+00
2.968207420742074110e+00 9.285603536060049734e-02 1.987828820637866034e+00 2.108830852612427975e+00
2.967907490749074562e+00 9.285041490477670412e-02 1.987805652928552158e+00 2.108816753183749171e+00
2.967607560756075458e+00 9.284479394042120803e-02 1.987782529764836603e+00 2.108802652858251747e+00
2.967307630763075910e+00 9.283917246732283080e-02 1.987759451113253917e+00 2.108788551635125685e+00
